Date,full,no_pods,hmm_only,no_decay,no_bandit_a,no_bandit_b,no_bandit_c,buy_and_hold,static_40,benchmark_spx
2015-05-05,99023.62557812742,98989.0199081055,98364.32512313941,99160.166073428,98903.64505777738,98468.94125534223,99023.30333682135,99267.67601989173,98397.94726281625,102722.05845718563
2015-05-06,98684.04151413232,98737.13092977945,98033.41902186835,98821.43201818125,98571.05893177178,98149.21771762162,98705.18719884811,99097.8415531594,98260.91813298961,102299.16926568783
2015-05-07,99537.03939646934,99492.00896746237,98901.69424595019,99675.19325915395,99431.94696216015,98984.73366779285,99521.96299841588,99966.69065617894,98778.22018510084,102707.29988394344
2015-05-08,99574.11223503799,99673.3037406776,98794.55590098347,99708.8961832994,99394.07545842601,99020.99482762997,99667.9183992664,99214.24219627703,98770.35863314064,104059.57224374569
2015-05-11,99141.15375158432,99145.25458943,98359.89842023986,99273.83902977762,98956.59166934835,98582.93241111594,99219.37160521171,98588.85044664478,98360.22799600684,103562.90827252377
2015-05-12,99057.01030270556,99074.00624814045,98245.71689563348,99173.91021360131,98872.72139430139,98530.878949326,99167.793928704,98834.88885677507,98310.84611997384,103253.13196957577
2015-05-13,98961.80116472622,99111.77710985209,98134.7954628653,99086.79413742517,98760.54928297356,98441.43632326138,99142.87240133453,98888.24056838217,98283.58259019538,103272.82815371883
2015-05-14,99894.79933761942,100041.06482190642,99053.61655282127,100036.1148158517,99696.82657997089,99364.19639440786,100020.40634652288,99944.29293045907,98706.72587398626,104349.65236255062
2015-05-15,100263.79761724676,100308.47266735884,99490.65085306577,100418.5020939826,100084.4784829057,99772.21954347182,100287.48496216032,100312.5914356725,98890.17058718274,104462.79238083065
2015-05-18,101036.24181584979,100977.22345348402,100260.28798380324,101197.494085825,100860.4456925115,100507.55370355926,100985.49033801074,100864.22190411219,99197.30725379623,104787.34534350765
2015-05-19,100233.04604782781,100384.4126167115,99267.84094349833,100392.21269240562,99977.06179440799,99566.02030672792,100275.27716158684,100244.86947223004,98840.14578249562,104752.8905861224
2015-05-20,99718.31893482103,99932.81077294456,98764.60481262318,99874.87367405306,99459.13532811709,99046.55771173089,99756.95007732783,99880.53697597797,98562.14969864095,104679.1519793719
2015-05-21,99701.55318191428,99897.59564917414,98749.61534513244,99859.60124986197,99449.24700375511,99042.03893490582,99745.77439782834,99683.34645178402,98508.69985088869,104983.99971466244
2015-05-22,99329.98113347006,99611.86762539399,98385.62618544162,99483.70626769755,99078.73585537446,98678.48392707427,99371.20747328887,99341.45732842587,98249.81284791841,104733.23057495296
2015-05-26,98318.06526492423,98591.22516201828,97372.31183120741,98468.10003600735,98064.18563164119,97661.96284525373,98351.76869250802,98415.20528091934,97661.18582012097,103607.18399225033
2015-05-27,99095.92646028998,99359.05875761359,98143.63698292826,99366.91505853963,98955.47025529594,98402.91517438254,99295.463092564,100004.56244038824,98102.38478658801,104590.62766964901
2015-05-28,99405.3909308399,99590.01649662139,98401.08626023727,99696.49905423526,99273.26757100888,98719.00178643936,99531.92361917651,100413.26272595015,98218.12772665225,104472.62238641537
2015-05-29,98923.90445483633,99080.77359836253,97871.9348759135,99255.5199498248,98826.63125441561,98202.96092705024,99043.88285611093,99949.92407959221,97997.6531831122,103823.52550430477
2015-06-01,99436.2181150357,99564.69462843133,98319.30429775562,99787.75107960691,99345.38549167925,98670.36645781639,99504.6553862594,100613.37067964897,98213.3379609229,104034.9927081622
2015-06-02,98923.56845280682,99088.16211967538,97863.09694356134,99239.85012904943,98804.80240344189,98175.80112014712,99019.08675842479,99844.74718165622,97991.0713247843,103931.7098251971
2015-06-03,98624.45255675267,98980.44045007086,97679.17593294973,98929.89828620348,98535.57718982929,97983.9347125199,98742.0359535943,99550.08823214035,97919.98070165618,104207.0856302203
2015-06-04,98552.50163640054,98587.38396856117,97447.04494683964,98879.12988977686,98432.30658692855,97741.3842436406,98640.66117797828,99508.07511907963,97761.1621550149,103326.87961956966
2015-06-05,98505.11499627461,98264.5856806142,97471.04661173752,98839.53639889983,98407.32214127095,97755.23687667803,98361.12454854287,99346.16524613887,97671.10250048009,103149.91238931454
2015-06-08,97698.93701201645,97540.74243273839,96671.31219235212,98029.95980912459,97604.02043894552,96959.97663017736,97596.53127777553,98311.05707821366,97314.89150944387,102515.53790747249
2015-06-09,97917.66445305756,97701.23674180807,96911.48268210312,98251.26914410589,97824.84318046439,97192.62367213146,97769.52581936432,98544.25148153814,97411.59347556724,102500.7793342303
2015-06-10,98419.97951591336,98295.22140787056,97427.2317689103,98751.28781985263,98345.8167352932,97722.3388599754,98274.36996992126,98919.44020517734,97782.19959188168,103730.10879989804
2015-06-11,98878.4516788264,98697.66858393021,97874.62018493298,99230.9217970936,98807.16957514791,98206.59035314324,98697.07078216845,99411.26247309017,98040.55994136885,104064.47368167294
2015-06-12,98007.7560899922,97883.99383945616,96974.9920732982,98345.69144412345,97936.43953641232,97273.82013274141,97828.8075212367,98357.62257040036,97550.40507429017,103267.87245633114
2015-06-15,97583.13829430171,97415.94789071046,96547.12880812932,97949.16198470877,97516.76266690428,96832.9026434577,97358.95785382064,97925.55893791463,97281.8807547199,102825.31421042049
2015-06-16,98262.43769001219,98073.50816885741,97227.6737132752,98626.08378039472,98193.89205122965,97544.05414877544,98045.37269550536,98655.31667717783,97678.13590935965,103385.87773956478
2015-06-17,98503.59916501425,98439.53213751662,97407.15992579145,98863.295977898,98449.30587973545,97672.00241707389,98277.04539262284,99215.43642716993,97939.65384842169,103553.09635342586
2015-06-18,99701.13502705019,99497.43927121264,98517.87544114291,100061.6855335156,99624.95022455917,98770.17554032008,99425.43177624795,100456.32469791808,98712.63832927053,104629.99290820492
2015-06-19,98867.26885683494,98734.83111199911,97802.56677688929,99220.94887264958,98805.82070691089,98036.28045063262,98644.14519075937,99757.85053110463,98255.9950889698,104165.49575378597
2015-06-22,99385.95806409318,99072.49971567185,98233.83985361776,99740.8862845287,99287.894450979,98521.55718741682,99152.70144550232,99971.50604041266,98448.31576233609,104699.14659054745
2015-06-23,99329.76481946939,98775.95240110505,98129.80911399046,99678.02137270871,99188.3431843597,98504.64331990099,99111.46607173591,99274.6426607739,98198.11831779825,104773.25597027768
2015-06-24,98596.17082393085,98094.73211456915,97334.19800186594,98934.28847874948,98476.06439274403,97762.67744995681,98401.32578989895,98550.51174121369,97818.86007653877,104012.303210451
2015-06-25,98187.12620610947,97670.14652680722,96879.05419208655,98543.42751613249,98056.40814601215,97300.76392597592,97982.85202284009,98324.63809637706,97608.31152661364,103696.07907495297
2015-06-26,98532.1818499431,97946.45417257442,97308.52556856562,98880.7404835601,98409.34207083314,97666.3162634041,98304.46394392752,98288.56405005092,97750.34965243895,103676.32863134945
2015-06-29,96609.9082874177,96293.27218130406,95533.49075400794,96876.11223268032,96530.21649843865,95990.20618366235,96397.68526380944,96453.17361919796,96823.97636114893,101502.21535385311
2015-06-30,96770.68721356509,96317.29866054044,95677.75153149964,97085.6287386278,96661.65363534083,95988.49804634886,96524.88860875208,96439.98389913268,96809.96527073986,101714.66827124203
2015-07-01,97613.63789533553,97302.87903492428,96449.49238750657,97959.41978107675,97515.0593418669,96862.03679000064,97504.39159771494,97471.60012347727,97360.6802751976,102529.93475097835
2015-07-02,97444.49352169191,97530.16610698456,96435.73236114848,97713.21586140161,97340.82659138646,96877.63311580471,97344.66200607803,97642.4566717178,97430.64756312461,102436.10205737484
2015-07-06,97301.04250706044,97737.3933049979,96349.44711446196,97573.8645402811,97216.97261489116,96934.91387413052,97381.36240072924,97486.89235734857,97454.22658976328,102144.56597638119
2015-07-07,97285.41213771055,98647.05956126933,96576.05247661009,97499.93989297125,97244.47656422027,97419.62248825803,97688.35768906918,97830.71146331972,97795.07787975301,102786.90755566585
2015-07-08,96023.59308600728,97428.44785108053,95322.50714313783,96202.99354462103,95961.41870276551,96149.13571690448,96366.1593679018,96670.63502225878,97164.27539216398,101062.41529718197
2015-07-09,95825.31352619003,97305.70681667165,95112.58926470784,96024.63775567754,95777.18153658448,95989.64365194381,96238.97640254573,96561.89804292073,97147.92852402761,101245.23350592221
2015-07-10,96568.30584940754,98108.4872245871,95880.74528494058,96773.11038252563,96524.59118838473,96772.58780640106,97004.52612333497,97596.65787711405,97661.43875068666,102520.09570215023
2015-07-13,97358.31334218134,98933.60262321119,96660.84137719143,97581.66477021847,97316.29824642025,97606.77685872623,97843.10427194295,98452.10638607237,98158.88282487985,103651.61344711483
2015-07-14,97458.06391165723,99129.88844522074,96765.65351839931,97692.60333763821,97417.70505600495,97783.22806510984,98010.22157592725,98659.78461928618,98219.10933450633,104101.2615958575
2015-07-15,97657.46316849478,99313.73110352585,96957.44973706141,97892.05906671981,97617.93858041656,97941.45968553743,98232.44843044093,98808.33606948752,98319.74545164578,104066.69831955136
2015-07-16,98577.37482367862,100332.16389454267,97903.70303338743,98799.58502595159,98532.47388200814,98844.32007548328,99187.6996030495,99862.61634006652,98829.7595131819,104901.74237262142
2015-07-17,97940.61906256476,99719.40448716159,97258.0575488351,98155.64630124162,97896.88869661196,98220.69838584759,98546.06016037648,99175.85735516482,98460.01284987482,104990.70075802792
2015-07-20,97681.85218902005,99353.90557532724,96982.183691667,97903.95121673481,97639.06231618808,97951.6401620465,98254.60033567852,98714.19224994587,98263.38549569994,105045.05065091122
2015-07-21,97272.63235020399,98999.3899464326,96537.29217294582,97503.9693397919,97228.92531537462,97551.65860319769,97831.96472193822,98467.18621767726,98096.32573437423,104629.98386496151
2015-07-22,97789.83269055565,99356.24966884975,97015.24466291034,98036.2563580848,97740.24686126968,98039.80770050034,98374.15746196301,98601.94875668509,98171.25558077052,104442.20995883358
2015-07-23,97356.85720815111,98981.293980059,96583.19996122064,97603.47687454641,97314.06326072477,97597.2496009717,97914.06283309343,98410.44755256902,98054.5111182471,103854.22731567563
2015-07-24,96864.4913093718,98338.11390012549,96098.77017832515,97115.02483200589,96827.96358476576,97125.05830432975,97394.24323665832,97558.61594700237,97638.66521622721,102777.0323338641
2015-07-27,96779.00906432362,98102.86151506525,96010.31907254421,97019.16416025913,96751.4484197468,97085.38376858729,97262.9113155652,97170.85426762764,97466.50246076644,102179.12925268734
2015-07-28,97269.68286178398,98691.40466631539,96487.05679953183,97496.57806936346,97246.43357931045,97585.5390225505,97731.40304393749,98030.4496932779,97876.80643849114,103434.19578909481
2015-07-29,98045.0663933326,99476.17539658386,97203.66626598017,98280.73551343501,98018.10268440546,98295.6282579895,98520.90176741402,98825.26807939792,98300.48922522514,104145.76339666928
2015-07-30,98236.92494696764,99650.30034276223,97393.34211192439,98471.22511246387,98211.52595873155,98478.31213934466,98711.26874053836,98970.03378831806,98378.84852070245,104170.45145117366
2015-07-31,98169.21065141524,99554.5518539254,97307.27732643532,98383.86322508848,98149.94037980287,98358.77200006529,98634.50201638302,98821.84313038098,98327.42252647161,104012.303210451
2015-08-03,99344.8999786801,100484.56941623858,98480.79337005489,99550.17159045415,99345.41767768931,99467.06005424974,99791.02369185277,99650.83068894665,98795.58988964252,103661.49771216
2015-08-04,98892.65135809455,100116.11441871265,98039.65298906185,99116.59315933482,98881.91228072841,99052.43034701892,99331.03463932726,99459.06234155537,98652.7691544021,103458.90193008602
2015-08-05,99358.80728906396,100752.11431122645,98457.14916018069,99601.17506341296,99326.67572505784,99480.52891592529,99762.61149482145,100202.0950085474,99284.33985981086,103799.8412498187
2015-08-06,98773.03289633039,100023.13119746881,97896.77087659661,99011.55843919376,98751.51481625185,98890.52802030825,99182.18833287922,99422.7510346531,98767.31111889589,102949.95723431576
2015-08-07,99622.89920525326,100726.43654044587,98653.767584671,99863.49433713636,99601.78204158385,99677.14861526483,99966.855037976,101722.53836964746,99479.8040586778,102752.29001989926
2015-08-10,100206.5348152503,101564.00042212533,99171.11049871464,100454.32073050187,100155.39731517599,100252.31566348663,100548.98675733364,102945.95513140284,100067.24531131107,104046.9026597308
2015-08-11,99996.01020471475,101237.1579953902,98992.36610482306,100241.193190061,99953.69444505249,100021.37011146374,100312.75648058359,102584.55902844657,99955.59928459747,103108.09643179501
2015-08-12,100289.81584816177,101189.0444901873,99250.35623819067,100509.53645210681,100239.22945930455,100056.1258641204,100457.91632345904,102754.51179689718,99970.07547587594,103231.62713675106
2015-08-13,100600.57027338979,101455.75794300453,99511.21619139118,100822.12010337728,100548.28532981036,100382.46232658108,100767.16632982579,102598.23344340143,99950.85474025163,103103.14977765072
2015-08-14,100861.55977280119,101777.34943763367,99773.82387110194,101086.88384476732,100823.49095218531,100686.35154355237,101062.36022622883,102880.2831703692,100119.39268743467,103478.66141693294
2015-08-17,101197.50275811905,102060.2145732007,100158.14535146972,101432.36632203174,101166.90681951054,101072.03595499246,101394.22254081204,102976.40309042957,100239.11496427658,104056.76883828915
